ayah_id,surah_number,ayah_number,ayah_key,safe_to_persist,annotation_count,issue_count,low_confidence_count,emitted_rule_codes,exception
82,2,76,2:76,False,29,5,0,alif_lam_syamsiah|ghunnah|idgham_mutajanisain|ikhfa_haqiqi|ikhfa_syafawi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|mad_silah_qasirah|tafkhim_lam_jalalah|tafkhim_ra,
83,2,77,2:77,True,11,0,0,ghunnah|idgham_mutamatsilain|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_lam_jalalah|tarqiq_ra,
84,2,78,2:78,True,17,1,0,alif_lam_qamariah|ghunnah|izhar_halqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal,
85,2,79,2:79,False,19,21,0,alif_lam_qamariah|ghunnah|idgham_bilaghunnah|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra|tarqiq_lam_jalalah,
86,2,80,2:80,False,15,13,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|ikhfa_haqiqi|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
87,2,81,2:81,False,12,1,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|ikhfa_haqiqi|izhar_halqi|mad_asli|mad_lazim_mukhaffaf|tarqiq_ra,TajwidAnnotationError: Render segment index 17 dimulai dengan combining mark.
88,2,82,2:82,False,10,3,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal,
89,2,83,2:83,False,44,7,0,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|tafkhim_lam_jalalah|tafkhim_ra|tarqiq_ra,
90,2,84,2:84,False,21,6,1,ghunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|tarqiq_ra,
91,2,85,2:85,False,53,23,1,alif_lam_qamariah|alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|ikhfa_syafawi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
92,2,86,2:86,False,10,8,0,alif_lam_qamariah|alif_lam_syamsiah|idgham_bighunnah|mad_asli|mad_lazim_mukhaffaf|tafkhim_ra,
93,2,87,2:87,False,18,20,0,alif_lam_qamariah|alif_lam_syamsiah|ikhfa_haqiqi|iqlab|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|qalqalah_sugra|tafkhim_ra|tarqiq_ra,
94,2,88,2:88,False,5,8,0,idgham_mutamatsilain|mad_asli|mad_lazim_mukhaffaf,
95,2,89,2:89,False,32,4,0,alif_lam_syamsiah|ghunnah|idgham_bighunnah|idgham_bilaghunnah|idgham_mimi|idgham_mutajanisain|idgham_mutamatsilain|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|qalqalah_sugra|tafkhim_ra|tarqiq_lam_jalalah,
96,2,90,2:90,False,23,13,1,idgham_bighunnah|ikhfa_haqiqi|izhar_halqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_lam_jalalah|tafkhim_ra,
97,2,91,2:91,False,28,11,1,alif_lam_qamariah|idgham_bighunnah|idgham_bilaghunnah|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_silah_qasirah|tafkhim_lam_jalalah|tafkhim_ra,
98,2,92,2:92,True,15,1,0,alif_lam_qamariah|ghunnah|idgham_bighunnah|idgham_mimi|idgham_mutamatsilain|ikhfa_haqiqi|izhar_syafawi|mad_aridh_lissukun|mad_asli|mad_lazim_mukhaffaf|qalqalah_sugra,
99,2,93,2:93,False,26,17,1,alif_lam_syamsiah|idgham_bighunnah|idgham_mutajanisain|ikhfa_haqiqi|ikhfa_syafawi|izhar_syafawi|mad_asli|mad_lazim_mukhaffaf|mad_lazim_mutsaqqal|tafkhim_ra,
